iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
2012 3 18 0 -999 -999 -999 -999 -999 7.3 59.18 5.78 99.86 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 19 0 -999 -999 -999 -999 -999 6.07 60.82 5.56 99.99 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 20 0 -999 -999 -999 -999 -999 5.3 62.25 5.26 100.09 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 21 0 -999 -999 -999 -999 -999 5.48 62.61 5.05 100.12 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 22 0 -999 -999 -999 -999 -999 4.38 65.27 4.54 100.14 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 3 23 0 -999 -999 -999 -999 -999 5.77 66.05 4.56 100.13 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 0 0 -999 -999 -999 -999 -999 6.23 67.22 4.8 100.18 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 1 0 -999 -999 -999 -999 -999 5.51 65.42 4.87 100.3 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 2 0 -999 -999 -999 -999 -999 5.71 59.06 4.93 100.44 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 3 0 -999 -999 -999 -999 -999 6.08 59.14 4.79 100.59 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 4 0 -999 -999 -999 -999 -999 5.52 61.57 4.49 100.77 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 5 0 -999 -999 -999 -999 -999 5.46 64.23 3.92 100.9 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 6 0 -999 -999 -999 -999 -999 5.5 64.29 3.9 100.99 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 7 0 -999 -999 -999 -999 -999 5.97 65.22 3.92 101.09 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 8 0 -999 -999 -999 -999 -999 5 65.67 4.19 101.15 0 0.9 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 9 0 -999 -999 -999 -999 -999 4.74 66.9 4.56 101.25 0 11.88 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 10 0 -999 -999 -999 -999 -999 4.49 67.17 4.87 101.32 0 85.74 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 11 0 -999 -999 -999 -999 -999 6.19 67.7 5.37 101.38 0 107.6 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 12 0 -999 -999 -999 -999 -999 5.74 67.87 5.89 101.28 0 142.07 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 13 0 -999 -999 -999 -999 -999 6.13 67.69 6.27 101.18 0 110.23 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 14 0 -999 -999 -999 -999 -999 5.38 68.37 6.5 101.1 0 49.58 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 15 0 -999 -999 -999 -999 -999 4.96 70.02 6.75 100.96 0 35.76 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 16 0 -999 -999 -999 -999 -999 6.37 71.62 6.89 100.8 0 9.43 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 17 0 -999 -999 -999 -999 -999 5.82 79.75 7 100.7 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 18 0 -999 -999 -999 -999 -999 6.01 79.24 7.25 100.53 0.2 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 19 0 -999 -999 -999 -999 -999 5.8 78.83 7.56 100.41 0.6 0.06 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 20 0 -999 -999 -999 -999 -999 5.93 85.14 7.5 100.28 1.8 0.45 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 21 0 -999 -999 -999 -999 -999 5.71 83.42 7.75 100.17 0.6 0.54 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 22 0 -999 -999 -999 -999 -999 7.45 83.14 7.86 99.99 0.6 0.63 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 4 23 0 -999 -999 -999 -999 -999 8.32 79.05 8.24 99.85 0.2 0.23 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 5 0 0 -999 -999 -999 -999 -999 8.12 74.63 8.67 99.67 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 5 1 0 -999 -999 -999 -999 -999 9.18 74.1 9.04 99.52 0.4 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 5 2 0 -999 -999 -999 -999 -999 9.36 74.41 9.41 99.46 0.4 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 5 3 0 -999 -999 -999 -999 -999 9.11 72.79 9.78 99.39 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 5 4 0 -999 -999 -999 -999 -999 8.75 71.65 10.07 99.31 0.2 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 5 5 0 -999 -999 -999 -999 -999 8.14 71.41 10.15 99.2 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 5 6 0 -999 -999 -999 -999 -999 7.77 70.36 10.24 99.14 0.2 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 5 7 0 -999 -999 -999 -999 -999 7.41 71.76 10.27 99.13 0.4 0.12 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 5 8 0 -999 -999 -999 -999 -999 7.39 69.34 10.06 99.16 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 5 9 0 -999 -999 -999 -999 -999 8 70.17 8.39 99.28 0.6 12.92 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 5 10 0 -999 -999 -999 -999 -999 6.77 56.33 8.25 99.34 0 55.48 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 5 11 0 -999 -999 -999 -999 -999 7.77 53.73 8.79 99.43 0 141.57 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 5 12 0 -999 -999 -999 -999 -999 8.39 58.73 8.03 99.46 0 230.53 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 5 13 0 -999 -999 -999 -999 -999 8.44 56.63 8.31 99.54 0 142.59 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 5 14 0 -999 -999 -999 -999 -999 9.34 58.74 7.86 99.69 0.8 97.14 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 5 15 0 -999 -999 -999 -999 -999 9.48 56.08 8.11 99.84 0 80.31 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 5 16 0 -999 -999 -999 -999 -999 8.04 55.39 8.12 100.07 0.4 29.36 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 5 17 0 -999 -999 -999 -999 -999 7.34 56.78 7.54 100.26 0 0.13 -999 -999 -999 -999 -999 -999 -999 -999 -999
2012 5 18 0 -999 -999 -999 -999 -999 6.81 57.86 7.28 100.43 0 0 -999 -999 -999 -999 -999 -999 -999 -999 -999
