ElUNr_Wi;ElE7_Wi;ElInd_Wi;ElUNr_Sp;ElE7_Sp;ElInd_Sp;ElUNr_Su;ElE7_Su;ElInd_Su;ElUNr_Hi;ElE7_Hi;ElInd_Hi;ElUNr_Au;ElE7_Au;ElInd_Au;dummy
1.587;0.882;1.234;1.363;0.888;1.234;1.366;1.071;1.234;1.303;1.104;1.234;1.371;0.963;1.205;0
1.702;0.947;1.176;1.434;0.861;1.176;1.392;1.126;1.176;1.303;1.21;1.176;1.347;1.083;1.04;0
1.702;0.965;0.976;1.434;0.927;0.976;1.314;1.145;0.976;1.303;1.21;0.976;1.442;1.233;0.989;0
1.721;0.938;0.888;1.34;0.994;0.888;1.34;1.052;0.888;1.276;1.189;0.888;1.607;1.233;0.923;0
1.702;0.882;0.83;1.387;0.914;0.83;1.314;1.015;0.83;1.249;1.125;0.83;1.678;1.249;0.901;0
1.606;0.827;0.788;1.434;0.821;0.788;1.287;0.923;0.788;1.249;1.104;0.788;1.631;1.173;0.862;0
1.53;0.781;0.732;1.457;0.874;0.732;1.235;0.886;0.732;1.303;1.061;0.732;1.583;1.113;0.857;0
1.415;0.735;0.676;1.504;0.888;0.676;1.182;0.886;0.676;1.33;1.083;0.676;1.489;1.023;0.845;0
1.396;0.726;0.632;1.481;0.861;0.632;1.235;0.96;0.632;1.357;1.146;0.632;1.489;1.023;0.777;0
1.32;0.699;0.589;1.41;0.808;0.589;1.314;0.997;0.589;1.385;1.125;0.589;1.371;1.008;0.703;0
1.224;0.689;0.545;1.34;0.755;0.545;1.34;0.978;0.545;1.33;1.083;0.545;1.3;0.933;0.634;0
1.128;0.68;0.512;1.246;0.755;0.512;1.287;0.923;0.512;1.276;0.998;0.512;1.229;0.857;0.567;0
0.994;0.634;0.498;1.105;0.715;0.498;1.13;0.886;0.498;1.14;0.913;0.498;1.087;0.782;0.543;0
0.88;0.745;0.491;0.917;0.649;0.491;0.972;0.775;0.491;1.005;0.785;0.491;0.945;0.677;0.509;0
0.731;1.026;0.54;0.741;0.615;0.54;0.791;0.65;0.54;0.832;0.649;0.54;0.787;0.588;0.599;0
0.606;1.939;0.532;0.673;0.653;0.532;0.692;0.668;0.532;0.731;0.649;0.532;0.674;0.573;0.581;0
0.535;2.217;0.521;0.606;0.922;0.521;0.618;0.791;0.521;0.63;0.708;0.521;0.539;0.739;0.569;0
0.482;2.243;0.514;0.539;1.806;0.514;0.544;1.301;0.514;0.58;0.885;0.514;0.494;1.403;0.56;0
0.446;2.165;0.513;0.494;2.075;0.513;0.519;1.424;0.513;0.529;0.964;0.513;0.472;1.524;0.557;0
0.41;2.078;0.511;0.471;2.113;0.511;0.494;1.353;0.511;0.504;0.905;0.511;0.449;1.479;0.555;0
0.392;1.921;0.51;0.449;1.934;0.51;0.47;1.248;0.51;0.504;0.885;0.51;0.427;1.358;0.555;0
0.375;1.704;0.52;0.426;1.78;0.52;0.47;1.23;0.52;0.504;0.925;0.52;0.427;1.237;0.555;0
0.375;1.556;0.53;0.426;1.626;0.53;0.47;1.125;0.53;0.504;0.846;0.53;0.427;1.071;0.575;0
0.375;1.461;0.543;0.426;1.46;0.543;0.47;1.019;0.543;0.479;0.767;0.543;0.404;0.951;0.604;0
0.375;1.348;0.578;0.449;1.319;0.578;0.47;0.949;0.578;0.504;0.787;0.578;0.427;0.86;0.655;0
0.392;1.252;0.603;0.449;1.255;0.603;0.47;1.055;0.603;0.504;0.905;0.603;0.449;0.951;0.703;0
0.428;1.2;0.679;0.471;1.178;0.679;0.494;1.055;0.679;0.529;0.984;0.679;0.449;1.056;0.767;0
0.482;1.113;0.765;0.539;1.127;0.765;0.568;1.055;0.765;0.605;0.944;0.765;0.494;0.951;0.832;0
0.553;0.948;0.803;0.651;1.14;0.843;0.692;1.019;0.843;0.706;0.964;0.843;0.607;0.936;0.888;0
0.678;0.643;0.899;0.763;1.089;0.955;0.766;1.019;0.955;0.782;0.964;0.955;0.719;0.996;0.978;0
0.785;0.574;0.983;0.942;1.05;1.045;0.915;1.055;1.045;0.882;1.043;1.045;0.831;1.056;1.055;0
0.945;0.574;1.123;1.01;0.871;1.145;1.013;0.949;1.145;1.008;1.003;1.145;0.989;0.89;1.145;0
1.035;0.617;1.245;1.122;0.768;1.298;1.137;0.949;1.298;1.109;1.043;1.298;1.101;0.86;1.234;0
1.106;0.635;1.332;1.234;0.743;1.378;1.211;0.949;1.378;1.185;1.082;1.378;1.213;0.905;1.307;0
1.213;0.669;1.399;1.234;0.781;1.467;1.285;1.002;1.467;1.261;1.102;1.467;1.236;0.92;1.345;0
1.249;0.661;1.445;1.324;0.794;1.474;1.335;1.002;1.474;1.311;1.121;1.474;1.236;0.92;1.407;0
1.302;0.704;1.458;1.369;0.845;1.489;1.384;1.037;1.489;1.336;1.141;1.489;1.258;0.936;1.443;0
1.32;0.739;1.467;1.481;0.896;1.456;1.434;1.125;1.456;1.412;1.259;1.456;1.326;1.041;1.463;0
1.373;0.782;1.465;1.504;0.948;1.439;1.508;1.178;1.439;1.462;1.377;1.439;1.416;1.132;1.468;0
1.373;0.791;1.456;1.459;0.973;1.423;1.508;1.195;1.423;1.437;1.397;1.423;1.438;1.177;1.375;0
1.32;0.748;1.432;1.369;0.858;1.404;1.409;1.037;1.404;1.387;1.22;1.404;1.371;1.102;1.276;0
1.213;0.687;1.388;1.234;0.717;1.355;1.261;0.914;1.355;1.261;1.023;1.355;1.281;0.951;1.267;0
1.124;0.626;1.312;1.1;0.692;1.312;1.137;0.861;1.312;1.134;0.944;1.312;1.056;0.83;1.278;0
1.124;0.617;1.302;1.055;0.717;1.302;1.112;0.844;1.302;1.034;0.925;1.302;1.056;0.8;1.265;0
1.142;0.617;1.304;1.032;0.692;1.276;1.137;0.808;1.276;1.034;0.925;1.276;1.034;0.8;1.234;0
1.159;0.635;1.305;1.032;0.653;1.284;1.112;0.844;1.284;1.059;0.905;1.284;1.079;0.785;1.194;0
1.284;0.713;1.287;1.1;0.692;1.269;1.137;0.896;1.269;1.059;0.944;1.269;1.079;0.845;1.195;0
1.409;0.791;1.305;1.122;0.717;1.266;1.186;0.932;1.266;1.16;1.062;1.266;1.146;0.92;1.222;0
1.534;0.869;1.298;1.234;0.807;1.253;1.211;1.002;1.253;1.235;1.121;1.253;1.213;0.996;1.183;0
1.605;0.904;1.302;1.302;0.832;1.302;1.261;1.055;1.302;1.261;1.141;1.302;1.348;1.041;1.243;0
1.641;0.939;1.321;1.279;0.884;1.295;1.261;1.055;1.295;1.261;1.141;1.295;1.393;1.132;1.299;0
1.605;0.904;1.319;1.257;0.884;1.285;1.261;0.967;1.285;1.21;1.121;1.285;1.483;1.222;1.324;0
1.57;0.861;1.311;1.302;0.845;1.284;1.236;0.967;1.284;1.21;1.102;1.284;1.596;1.283;1.321;0
1.516;0.835;1.287;1.234;0.794;1.265;1.162;0.967;1.265;1.21;1.102;1.265;1.551;1.237;1.306;0
1.463;0.817;1.243;1.391;0.896;1.243;1.186;0.967;1.243;1.261;1.082;1.243;1.528;1.237;1.234;0
1.391;0.791;1.15;1.459;0.948;1.15;1.186;0.949;1.15;1.261;1.082;1.15;1.483;1.162;1.03;0
1.373;0.765;0.979;1.504;0.986;0.979;1.285;1.037;0.979;1.336;1.141;0.979;1.483;1.162;0.897;0
1.284;0.722;0.823;1.414;0.896;0.823;1.31;1.037;0.823;1.336;1.121;0.823;1.371;1.011;0.789;0
1.195;0.704;0.712;1.324;0.781;0.712;1.335;1.002;0.712;1.311;1.043;0.712;1.303;0.92;0.734;0
1.07;0.652;0.602;1.212;0.73;0.602;1.236;0.932;0.602;1.235;0.964;0.602;1.146;0.8;0.678;0
0.892;0.574;0.533;0.987;0.653;0.533;1.013;0.844;0.533;1.034;0.885;0.533;0.944;0.679;0.634;0
0.749;0.669;0.544;0.808;0.564;0.544;0.84;0.685;0.544;0.882;0.708;0.544;0.764;0.573;0.622;0
