motorcycles;taxis;cars;bus and coaches;lgv;TotRig;TotArt;dummy
0.069;0.429;0.166;0.205;0.135;0.421;0.406;0
0.067;0.363;0.153;0.196;0.154;0.369;0.381;0
0.066;0.298;0.141;0.187;0.174;0.318;0.356;0
0.09;0.288;0.155;0.213;0.223;0.43;0.444;0
0.114;0.278;0.17;0.238;0.273;0.541;0.532;0
0.207;0.357;0.235;0.382;0.355;0.728;0.691;0
0.3;0.436;0.3;0.526;0.437;0.915;0.851;0
0.729;0.588;0.562;0.751;0.972;1.243;1.208;0
1.157;0.739;0.823;0.976;1.507;1.572;1.566;0
1.695;0.822;1.136;1.238;1.851;1.567;1.721;0
2.233;0.904;1.449;1.501;2.196;1.562;1.876;0
2.496;0.918;1.535;1.507;1.97;1.574;1.827;0
2.759;0.932;1.621;1.514;1.743;1.586;1.779;0
2.273;0.94;1.493;1.559;1.753;1.774;1.877;0
1.786;0.949;1.365;1.604;1.762;1.962;1.975;0
1.518;1.028;1.286;1.568;1.803;2.05;2.046;0
1.249;1.107;1.207;1.531;1.844;2.139;2.116;0
1.219;1.145;1.197;1.469;1.847;2.172;2.119;0
1.189;1.183;1.186;1.407;1.849;2.206;2.121;0
1.212;1.168;1.213;1.387;1.828;2.2;2.112;0
1.235;1.153;1.239;1.367;1.807;2.193;2.103;0
1.278;1.179;1.247;1.381;1.802;2.137;2.051;0
1.321;1.204;1.255;1.395;1.798;2.081;1.998;0
1.333;1.321;1.27;1.436;1.83;2.031;1.92;0
1.344;1.439;1.284;1.477;1.862;1.981;1.842;0
1.421;1.364;1.353;1.502;1.899;1.915;1.734;0
1.497;1.29;1.423;1.527;1.936;1.849;1.626;0
1.733;1.386;1.502;1.559;1.956;1.726;1.521;0
1.968;1.481;1.58;1.591;1.977;1.603;1.417;0
2.317;1.5;1.664;1.524;1.777;1.471;1.287;0
2.666;1.519;1.748;1.458;1.577;1.34;1.157;0
2.623;1.473;1.716;1.434;1.368;1.264;1.081;0
2.58;1.428;1.684;1.41;1.158;1.188;1.004;0
2.183;1.457;1.61;1.391;1.018;0.837;0.768;0
1.786;1.487;1.536;1.372;0.877;0.485;0.531;0
1.476;1.504;1.368;1.243;0.753;0.481;0.518;0
1.166;1.52;1.201;1.115;0.629;0.477;0.505;0
1.004;1.453;1.097;1.011;0.542;0.4;0.445;0
0.841;1.385;0.993;0.906;0.454;0.323;0.385;0
0.734;1.354;0.929;0.84;0.399;0.351;0.397;0
0.627;1.322;0.866;0.775;0.344;0.38;0.409;0
0.546;1.34;0.779;0.776;0.312;0.426;0.441;0
0.466;1.357;0.692;0.777;0.28;0.472;0.473;0
0.357;1.269;0.555;0.7;0.244;0.464;0.465;0
0.249;1.181;0.418;0.623;0.208;0.456;0.457;0
0.188;1.053;0.327;0.454;0.181;0.413;0.42;0
0.126;0.925;0.237;0.285;0.153;0.369;0.383;0
0.098;0.679;0.202;0.246;0.145;0.397;0.396;0
0.069;0.433;0.167;0.207;0.136;0.424;0.409;0
0.068;0.367;0.155;0.198;0.156;0.372;0.384;0
0.066;0.3;0.142;0.189;0.175;0.321;0.359;0
0.091;0.29;0.157;0.215;0.225;0.433;0.448;0
0.115;0.28;0.172;0.24;0.275;0.546;0.536;0
0.209;0.36;0.237;0.385;0.358;0.734;0.697;0
0.303;0.44;0.303;0.53;0.441;0.923;0.858;0
0.735;0.593;0.567;0.757;0.98;1.254;1.218;0
1.167;0.746;0.831;0.984;1.519;1.585;1.578;0
1.707;0.828;1.144;1.247;1.864;1.578;1.733;0
2.247;0.909;1.458;1.51;2.209;1.572;1.887;0
2.506;0.921;1.541;1.514;1.978;1.581;1.835;0
2.764;0.933;1.625;1.517;1.747;1.59;1.782;0
