Electr;Gas
0.79172477;0.603616317
0.933410435;0.618734959
0.95732967;0.610647396
0.958404735;0.594290119
0.971922184;0.584563186
0.943399283;0.644345573
0.820879127;0.561611995
0.79233432;0.611886032
0.951141612;0.631667773
0.949189189;0.661212877
0.960191216;0.674728578
0.946890095;0.684054776
0.927571787;0.683690472
0.822498571;0.716405026
0.778342594;0.682342545
0.80881518;0.617860628
0.948259255;0.66463734
0.988838436;0.691304438
0.980388525;0.68438265
0.946195109;0.722161039
0.83129132;0.724674741
0.813911743;0.71906445
0.976593212;0.762999586
0.980377572;0.804129577
0.967101643;0.80748118
0.978105861;0.824785649
0.969497126;0.828100821
0.868742243;0.772034341
0.834056476;0.80824622
0.963493084;0.830723814
0.970628601;0.825077093
0.97914478;0.78146983
1.001834509;0.790030989
0.954010825;0.800741545
0.854140419;0.816370213
0.837629438;0.823437722
0.97306954;0.853383561
0.992344583;0.843183032
0.989422247;0.836844132
0.980636617;0.833273947
0.968077033;0.838556364
0.857964211;0.817317405
0.834637548;0.778555393
0.978573566;0.830468801
0.989675267;0.868502203
1.000904027;0.915351777
1.005118303;0.913311671
1.004658265;0.895715758
0.868087784;0.823146278
0.856816854;0.833273947
1.026420251;0.892327725
1.033522361;0.88169003
1.042295394;0.902163949
1.053535655;0.867591441
1.016026132;0.834658304
0.903674458;0.837427019
0.866132075;0.85167133
1.01225875;0.850323403
1.039927842;0.846898939
1.056021503;0.850833429
1.046130687;0.866425667
1.028810258;0.876844779
0.899925696;0.827590795
0.872239079;0.849121197
1.026548952;0.860596793
1.046980114;0.906062009
1.065703659;0.894877857
1.052719088;0.868757216
1.050646178;0.882782944
0.932120138;0.838483503
0.9092097;0.853128548
1.064481272;0.857645925
1.054360437;0.849959098
1.05845587;0.83509547
1.030872761;0.817572418
1.012971808;0.807408319
0.908334533;0.825259245
0.886823925;0.802235193
1.047655384;0.84693537
1.066849372;0.865150601
1.081942451;0.874476799
1.071158395;0.863802673
1.058052789;0.980744455
0.963253754;0.973458363
0.940807736;0.940306643
1.074780098;0.986427607
1.108313031;0.992657216
1.110463709;1.049743749
1.119299723;1.012111082
1.083417858;0.980926607
0.980730268;0.996628136
0.977818884;0.997502467
1.139259346;1.148616022
1.144682865;1.112804878
1.165260801;1.17291514
1.202041931;1.307270682
1.210592064;1.352699467
1.105661789;1.270403055
1.083593111;1.286104584
1.243538997;1.350695792
1.26053028;1.343081825
1.260065313;1.33714366
1.242139167;1.310002966
1.254189971;1.370331811
1.128806627;1.277543425
1.104510598;1.247998321
1.263789429;1.357326136
1.287797934;1.346469858
1.285645066;1.250402731
1.2430576;1.182204907
1.21379371;1.150656128
1.094900187;1.122021785
1.068362021;1.14927177
1.223680692;1.240566507
1.251981241;1.257215228
1.267262716;1.282133663
1.258893859;1.145264419
1.24637535;1.251677797
1.107994838;1.192369006
1.079012447;1.16344322
1.234621928;1.281587206
1.251227655;1.278599908
1.236259992;1.206649747
1.209821501;1.174955245
1.185365007;1.144681532
1.122710576;1.293973563
1.120169962;1.301696821
1.230998034;1.271568829
1.249534277;1.268982267
1.207823074;1.197505701
1.1792706;1.165228312
1.0955886;1.091529489
1.003218456;1.061000762
0.939280848;1.108615375
0.949088419;1.093569594
1.030518423;1.236377004
1.120070287;1.348910699
1.151043985;1.391935074
1.13572746;1.243444513
1.029763194;1.143595497
0.951043159;1.158447386
1.003928785;1.231415365
1.151323872;1.240379677
1.204628049;1.341152217
1.232320894;1.392507088
1.234169581;1.362955247
1.11423719;1.332453796
1.090816558;1.324059249
1.215995817;1.349660716
1.212942325;1.289379517
1.183516938;1.271450894
1.210391415;1.340316561
1.177442603;1.280757065
1.059486284;1.198938727
1.030528153;1.193620915
1.183524431;1.239961849
1.183714438;1.216829366
1.177019235;1.129123451
1.152843928;1.10705453
1.132120324;1.159548933
1.041309844;1.158067542
1.037343783;1.268526097
1.216079313;1.428212398
1.238036624;1.400483806
1.243234786;1.377655199
1.23524593;1.398090791
1.226142189;1.426009305
1.098763666;1.342139811
1.070334343;1.369678481
1.227655286;1.476224645
1.243460119;1.456016959
1.260311862;1.489025378
1.272571325;1.527731454
1.255639832;1.47895952
1.108113614;1.316196484
1.055154125;1.296444611
1.195868996;1.321096468
1.184464832;1.277528393
1.173237294;1.298495767
1.202987031;1.397369088
1.199579216;1.301838392
1.081066793;1.325730562
1.040504857;1.250711426
1.152679076;1.228908397
1.148126403;1.210220086
1.136932049;1.231909162
1.147902676;1.283036127
1.131281082;1.208776679
1.038493459;1.199850352
1.031606108;1.221691366
1.178759271;1.316272453
1.20674007;1.370248246
1.233178869;1.406751228
1.242828546;1.410131837
1.206110103;1.395431885
1.07380478;1.296938408
1.051595375;1.318893375
1.202302471;1.354332794
1.207729177;1.36367695
1.233243632;1.413132602
1.236270898;1.403636509
1.218469654;1.375414121
1.091641884;1.313917422
1.050438742;1.25656102
1.19170597;1.31042286
1.218708367;1.359004872
1.183263238;1.210599929
1.15665263;1.21025807
1.150190788;1.266968738
1.058817781;1.229820022
1.058359088;1.355016513
1.205235536;1.387151292
1.219699615;1.303585673
1.186297462;1.263322238
1.226136301;1.30495311
1.205899757;1.332529764
1.086974136;1.26715866
1.034124905;1.269095863
1.181362634;1.227427006
1.204415562;1.291012845
1.190919181;1.331504186
1.169318869;1.233694428
1.137883154;1.134745138
0.989059537;0.942924058
0.931620166;0.944785292
1.079371181;1.023412943
1.083846246;1.070969377
1.090851883;1.056953143
1.082054293;1.007991288
1.041389593;0.958117807
0.917249217;0.915423372
0.902677557;1.004762616
1.048105135;1.079098032
1.083277296;1.138049778
1.08446979;1.130642826
1.075045981;1.116588608
1.060652017;1.105952984
0.948031415;1.058130659
0.936435638;1.119019608
1.077427758;1.188303103
1.10059362;1.206155758
1.066286927;1.08168097
1.027560298;1.023792786
0.910494604;1.000584335
0.875633947;1.004382772
0.823156167;0.973311556
0.850811545;0.987365773
0.983940589;1.02990827
1.017704557;1.032377255
1.026490907;1.016993584
1.000271553;0.969323197
0.877545256;0.894304061
0.861361481;0.896545139
1.008196181;0.94216437
1.015266045;0.926021012
1.008362638;0.919525684
1.000460489;0.939125621
0.972400476;0.926590778
0.857043773;0.896849014
0.83656477;0.941328714
0.860889942;0.98880918
0.990608495;1.00453471
0.980028051;0.95276201
0.972041871;0.880173875
0.940443447;0.856205736
0.843327947;0.826919785
0.82552831;0.851343736
0.971161952;0.856471626
0.97453123;0.814574864
0.961927614;0.796266396
0.951870626;0.784035428
0.933779822;0.770057179
0.834972994;0.794101287
0.813076699;0.837061612
0.969403718;0.846709643
0.969299348;0.83504844
0.972555693;0.838543003
0.946649984;0.828515128
0.946345973;0.816170207
0.853190646;0.811232239
0.837516946;0.841809659
0.976264843;0.89377228
0.976440398;0.918044294
0.98287655;0.893050577
0.972007616;0.860156111
0.952394081;0.837745331
0.829321491;0.8378213
0.77744638;0.861067736
0.805215228;0.885415718
0.916936107;0.91800631
0.929382366;0.909953623
0.931823554;0.863422767
0.89925315;0.766600602
0.79403372;0.718778277
0.770681062;0.728920104
0.913953266;0.693252779
0.925378839;0.708142653
0.933772329;0.660358312
0.931854597;0.638441329
0.910378459;0.649532766
0.794837637;0.584731427
0.783043289;0.619715034
0.944583993;0.668221077
0.952604427;0.679844295
0.93739156;0.642429689
0.923095009;0.67015828
0.913739173;0.630768486
0.812092409;0.617625893
0.780362853;0.668980765
0.922833816;0.691315576
0.931193052;0.768119977
0.918584618;0.77032307
0.922697867;0.801470255
0.910869801;0.791670287
0.802681445;0.761358758
0.772396477;0.758699852
0.920403333;0.822475613
0.929454622;0.838960831
0.925979903;0.804395052
0.926514599;0.789809053
0.91641051;0.790264866
0.806245012;0.778983507
0.785597946;0.796608256
0.937230456;0.779591257
0.951632983;0.755964977
0.960220227;0.716309293
0.955431517;0.721703074
0.917237977;0.757750243
0.79467225;0.705407778
0.766951573;0.6958737
0.921137134;0.755926993
0.927426097;0.774501351
0.931067272;0.766258742
0.932897227;0.774919179
0.901826005;0.755737071
0.78946606;0.729451886
0.77458343;0.676691592
0.935335739;0.723222448
0.96102575;0.713878293
0.963224478;0.728578245
0.97026651;0.739821619
0.94202666;0.680793905
0.834728393;0.691049685
0.782671839;0.688162873
0.918155363;0.672893155
0.942512649;0.672057499
0.950494547;0.680983826
0.944619318;0.689758216
0.920577283;0.592176364
0.813367329;0.514954135
0.768381175;0.493986762
0.888439881;0.58849188
0.888618648;0.578312068
0.888784569;0.577742303
0.886859879;0.568550084
0.876771848;0.555863304
0.792475663;0.555597414
0.775738459;0.578198115
0.904038649;0.591682567
0.909985064;0.62176619
0.894908681;0.649646719
0.890153155;0.653141282
0.880622834;0.653825
0.789688181;0.625792534
0.7795675;0.683110951
0.913425528;0.699368263
0.924226487;0.735871244
0.928478361;0.731616995
0.93790003;0.776742429
0.921701268;0.766562617
0.814800142;0.757256446
0.783483249;0.798773365
0.914767352;0.820006629
0.928033049;0.815448504
0.946512965;0.831781784
0.932270471;0.802533818
0.907164932;0.790986569
0.806802723;0.775488945
0.762043506;0.794291209
0.786862162;0.806104349
0.900767318;0.819626785
0.928865868;0.832997284
0.947147748;0.818753145
0.919302898;0.838125175
0.828516504;0.799039256
0.795867421;0.780388929
0.93771484;0.880857593
0.964305109;0.851229783
0.962136889;0.887314937
0.93886398;0.847089486
0.919436706;0.800140802
0.807745264;0.799760959
0.7907656;0.770702914
0.944029493;0.816739973
0.966835681;0.810434567
0.972800829;0.810206661
0.985371796;0.821677941
0.944869271;0.847051502
0.841164544;0.81993066
0.814019776;0.807433802
0.942579018;0.828894972
0.936730015;0.853432877
0.948714904;0.85259722
0.963456233;0.875045985
0.953705397;0.831819769
0.831253674;0.80359738
0.817358546;0.780350944
0.959306053;0.805990396
0.966470653;0.8341748
0.970626186;0.897152889
0.974355139;0.929553559
0.964888511;0.925375278
0.849144301;0.850773971
0.8306874;0.801622193
0.961501035;0.860725876
0.972731784;0.977945649
0.976701591;1.04232916
1.00039305;1.084339876
0.97106561;1.051825253
0.85184347;0.9591054
0.836752101;0.943151964
0.978377934;0.96848754
1.003431556;0.956484479
1.008683776;0.954205416
0.992160129;0.954015495
0.978447514;0.943417855
0.872350841;0.893734296
0.842982188;0.930541152
