ElUNr_Wi;ElE7_Wi;ElInd_Wi;ElUNr_Sp;ElE7_Sp;ElInd_Sp;ElUNr_Su;ElE7_Su;ElInd_Su;ElUNr_Hi;ElE7_Hi;ElInd_Hi;ElUNr_Au;ElE7_Au;ElInd_Au;dummy
0.880;0.928;0.878;0.917;0.928;0.878;0.946;0.928;0.878;0.950;0.928;0.878;0.945;0.928;0.833;0
0.975;0.71;1.12;1.011;0.71;1.12;1.051;0.71;1.12;1.005;0.71;1.12;1.040;0.71;1.05;0
1.071;0.578;1.45;1.081;0.578;1.45;1.130;0.578;1.45;1.167;0.578;1.45;1.111;0.578;1.32;0
1.090;0.521;1.76;1.152;0.521;1.76;1.209;0.521;1.76;1.167;0.521;1.76;1.111;0.521;1.656;0
1.090;0.483;1.867;1.128;0.483;1.867;1.209;0.483;1.867;1.167;0.483;1.867;1.134;0.483;1.798;0
1.090;0.455;1.932;1.152;0.455;1.932;1.209;0.455;1.932;1.167;0.455;1.932;1.134;0.455;1.826;0
1.090;0.445;1.947;1.128;0.445;1.947;1.156;0.445;1.947;1.140;0.445;1.947;1.111;0.445;1.825;0
1.071;0.436;1.944;1.105;0.436;1.944;1.130;0.436;1.944;1.113;0.436;1.944;1.064;0.436;1.826;0
1.071;0.455;1.934;1.175;0.455;1.934;1.182;0.455;1.934;1.140;0.455;1.934;1.111;0.455;1.812;0
1.128;0.483;1.877;1.222;0.483;1.877;1.235;0.483;1.877;1.195;0.483;1.877;1.158;0.483;1.767;0
1.128;0.474;1.778;1.175;0.474;1.778;1.182;0.474;1.778;1.140;0.474;1.778;1.158;0.474;1.654;0
1.109;0.455;1.698;1.081;0.455;1.698;1.130;0.455;1.698;1.113;0.455;1.698;1.064;0.455;1.576;0
1.033;0.436;1.602;1.011;0.436;1.602;1.103;0.436;1.602;1.032;0.436;1.602;0.993;0.436;1.498;0
0.994;0.436;1.498;0.964;0.436;1.498;1.077;0.436;1.498;1.005;0.436;1.498;0.969;0.436;1.512;0
1.014;0.455;1.456;1.034;0.455;1.456;1.051;0.455;1.456;0.977;0.455;1.456;0.969;0.455;1.487;0
1.014;0.474;1.421;1.011;0.474;1.421;1.051;0.474;1.421;1.005;0.474;1.421;0.969;0.474;1.435;0
1.071;0.521;1.398;1.058;0.521;1.398;1.103;0.521;1.398;1.059;0.521;1.398;1.016;0.521;1.402;0
1.205;0.625;1.356;1.175;0.625;1.356;1.103;0.625;1.356;1.086;0.625;1.356;1.087;0.625;1.387;0
1.396;0.777;1.298;1.269;0.777;1.298;1.235;0.777;1.298;1.249;0.777;1.298;1.229;0.777;1.285;0
1.587;0.89;1.234;1.363;0.89;1.234;1.366;0.89;1.234;1.303;0.89;1.234;1.371;0.89;1.205;0
1.702;0.947;1.176;1.434;0.947;1.176;1.392;0.947;1.176;1.303;0.947;1.176;1.347;0.947;1.04;0
1.702;0.976;0.976;1.434;0.976;0.976;1.314;0.976;0.976;1.303;0.976;0.976;1.442;0.976;0.989;0
1.721;0.966;0.888;1.340;0.966;0.888;1.340;0.966;0.888;1.276;0.966;0.888;1.607;0.966;0.923;0
1.702;0.919;0.83;1.387;0.919;0.83;1.314;0.919;0.83;1.249;0.919;0.83;1.678;0.919;0.901;0
1.606;0.871;0.788;1.434;0.871;0.788;1.287;0.871;0.788;1.249;0.871;0.788;1.631;0.871;0.862;0
1.530;0.852;0.732;1.457;0.852;0.732;1.235;0.852;0.732;1.303;0.852;0.732;1.583;0.852;0.857;0
1.415;0.824;0.676;1.504;0.824;0.676;1.182;0.824;0.676;1.330;0.824;0.676;1.489;0.824;0.845;0
